_Id;_PostTypeId;_AcceptedAnswerId;_CreationDate;_Score;_ViewCount;_OwnerUserId;_LastEditorUserId;_LastEditDate;_LastActivityDate;_Title;_Tags;_AnswerCount;_CommentCount;_FavoriteCount
2;1;14;2015-03-31T19:00:01.793;26;6328;8;8;2015-03-31T19:33:14.567;2015-04-08T01:00:04.903;What are these lines in teeth?;<dentistry>;1;1;2
3;1;;2015-03-31T19:06:32.503;12;103;14;14;2015-04-01T00:01:10.120;2015-04-01T00:01:10.120;Calcium supplements versus ""fortified with calcium\;<nutrition>;1;0;
4;1;;2015-03-31T19:11:24.947;24;520;11;;;2017-01-16T14:14:31.053;If human life is so long largely due to modern medicine, does every illness shorten lifespan?;<life-expectancy><disease><statistics>;2;4;
5;1;;2015-03-31T19:21:14.007;11;182;11;114;2015-04-08T18:37:28.483;2016-06-11T10:40:39.660;Can the immune system break down anything?;<immune-system><drug-metabolism>;4;2;1
6;1;478;2015-03-31T19:26:15.727;18;3055;16;62;2015-04-13T04:27:47.377;2015-04-15T18:13:37.963;What should I consider when deciding to remove a blister or not?;<wound><removal>;4;0;
7;2;;2015-03-31T19:28:52.820;13;;22;;;2015-03-31T19:28:52.820;;;;1;
8;2;;2015-03-31T19:29:37.167;12;;8;;;2015-03-31T19:29:37.167;;;;1;
9;2;;2015-03-31T19:31:01.247;15;;22;;;2015-03-31T19:31:01.247;;;;0;
10;2;;2015-03-31T19:36:37.267;18;;22;174;2015-04-07T11:05:57.097;2015-04-07T11:05:57.097;;;;11;
11;1;;2015-03-31T19:38:35.420;13;151;14;163;2015-04-12T17:39:37.397;2015-04-12T17:39:37.397;Are calcium supplements harmful, even if you stay short of the maximum dose?;<nutrition><micronutrients><cardiovascular-disease><musculoskeletal-system>;1;0;
12;2;;2015-03-31T19:39:31.057;11;;22;;;2015-03-31T19:39:31.057;;;;0;
13;1;18;2015-03-31T19:58:50.160;32;711;8;26;2015-04-28T23:40:46.263;2015-04-30T01:10:09.960;Are there any health benefits to male circumcision?;<urology>;2;2;6
14;2;;2015-03-31T20:06:23.537;22;;26;26;2015-04-08T01:00:04.903;2015-04-08T01:00:04.903;;;;3;
15;1;;2015-03-31T20:13:07.203;13;12079;36;6563;2017-03-13T04:40:57.250;2017-03-13T04:40:57.250;Will eye floaters ever disappear?;<eye><ophthalmology><aging><eye-floaters>;2;1;3
16;1;313;2015-03-31T20:17:59.453;8;149;39;26;2015-04-06T02:12:20.970;2015-04-06T02:12:20.970;Dietary Factors for Calcium Oxalate Kidney Stones;<renal><urology><kidney-stones>;2;0;
17;1;257;2015-03-31T20:18:23.647;8;66;33;26;2015-04-03T00:23:48.500;2015-04-03T00:29:06.523;Are there current studies about long term development of WPW in children?;<clinical-study><wpw-syndrome>;1;0;1
